Category,Item Description,Qty,Retail Per Unit,Total Retail,Condition,Packaging,UPC,Manufacturer,Model
Cell Phones,OTTERBOX defender series iphone 5S/5SE  Black,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 5S/5SE Blue,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 5S/5SE Real Tree,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 7/8 Teal,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 7/8 Plus Nebula,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 7/8 Plus Blue,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 7/8 STORMY PEAKS (AGAVE GREEN/MARITIME BLUE),3,50,150,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 7/8 plus black,2,60,120,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 6/6s Teal,2,50,100,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 6/6s  black,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 6/6s  Glacier,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 6/6s plus black,3,60,180,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iphone 6/6s plus Pink,1,60,60,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy s5 Teal,3,50,150,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy s5 Black,2,50,100,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy s8 Black,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy s9 Plus   BIG SUR (PALE BEIGE/CORSAIR),1,60,60,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy s9 Plus Black,2,60,120,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy s9  BIG SUR (PALE BEIGE/CORSAIR),1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy s9 Black,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy s9 Plus nebula,1,60,60,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iPhone x/xs Black,6,50,300,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy Note Nebula,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series Galaxy Note 8 BIG SUR,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iPad Air 2 Black,1,89,89,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iPad mini 123 Black,1,69,69,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender series iPhone x/xs BIG SUR (PALE BEIGE/CORSAIR),3,50,150,Customer Returns,Original,,,
Cell Phones,OTTERBOX Strada  series Galaxy  s9 Brown,2,50,100,Customer Returns,Original,,,
Cell Phones,OTTERBOX Strada  series Galaxy   s8   Black,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX Strada  series Galaxy   s8 Plus  Black,3,50,150,Customer Returns,Original,,,
Cell Phones,OTTERBOX Strada  series Galaxy   s7 edge Black,3,50,150,Customer Returns,Original,,,
Cell Phones,OTTERBOX pursuit  series Galaxy s9 Plus Clear,2,35,70,Customer Returns,Original,,,
Cell Phones,OTTERBOX pursuit  series iPhone 7/8  Clear,5,35,175,Customer Returns,Original,,,
Cell Phones,OTTERBOX Symmtrey  series iPhone 7/8 Marvel,1,50,50,Customer Returns,Original,,,
Cell Phones,OTTERBOX Symmtrey  series Galaxy s8 Clear,2,35,70,Customer Returns,Original,,,
Cell Phones,OTTERBOX Symmtrey  series Galaxy J7 Black,1,35,35,Customer Returns,Original,,,
Cell Phones,OTTERBOX Symmtrey  series iPhone 7/8 Plus clear,1,35,35,Customer Returns,Original,,,
Cell Phones,OTTERBOX defender note 8 black,5,50,250,Customer Returns,Original,,,
Cell Phones,OTTERBOX pursuit  series iPhone 7/8+ clear,5,35,175,Customer Returns,Original,,,
Cell Phones,OTTERBOX pursuit  series iPhone 7/8+ black,2,35,70,Customer Returns,Original,,,
Cell Phones,OTTERBOX pursuit  series iPhone 7/8 black,4,35,140,Customer Returns,Original,,,
Cell Phones,OTTERBOX pursuit  series glaxy s9 Black,2,35,70,Customer Returns,Original,,,
Cell Phones,OTTERBOX pursuit  series glaxy s9 Plus clear,1,35,35,Customer Returns,Original,,,
Cell Phones,OTTERBOX Commuter series Galaxy s7 Black,1,35,35,Customer Returns,Original,,,
Cell Phones,OTTERBOX Commuter series  iphone 5S/5SE  Black,1,35,35,Customer Returns,Original,,,
Cell Phones,OTTERBOX Commuter series  Galaxy s8 Blue,1,35,35,Customer Returns,Original,,,
