Category,Item Description,Qty,Retail Per Unit,Total Retail,Condition,Packaging,UPC,Manufacturer,Model,Expiration Date,IMEI
Cell Phones,Volume keys not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 6S 64GB Unlocked,,353257071829369
Cell Phones,Charger port not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,359236068845509
Cell Phones,Touch screen not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,354449065581291
Cell Phones,No service issue.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,359238067644925
Cell Phones,No service issue.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,355784073768988
Cell Phones,No service issue.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,354450064849234
Cell Phones,No service issue. Black spot on screen.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,354449064363105
Cell Phones,No service issue. ,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,354411060661734
Cell Phones,Cracked screen. Cracked camera lens,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,355790070408221
Cell Phones,No  service issue. ,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,358369069481684
Cell Phones,Vibrate switch.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,354404061884058
Cell Phones,Charger port not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,359301067290212
Cell Phones,Power button. Front camera mic.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,359306066546241
Cell Phones,Touch screen. No service issue.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,354409066817912
Cell Phones,No service issue. Cracked screen.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,354409066817912
Cell Phones,Stuck on restore.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB Unlocked,,356954066655273
Cell Phones,Screen freezes.,1,800,800,Used,Other Packaging,,Apple,iPhone 6 64GB Unlocked,,356991063658983
Cell Phones,Touch screen not working.,1,800,800,Used,Other Packaging,,Apple,iPhone 6 64GB Unlocked,,358369062279424
Cell Phones,Touch screen not working.,1,800,800,Used,Other Packaging,,Apple,iPhone 6 64GB Unlocked,,354408069280961
Cell Phones,Power button not working.,1,800,800,Used,Other Packaging,,Apple,iPhone 5 64GB Unlocked,,990002248807388
Cell Phones,Power button not working.,1,800,800,Used,Other Packaging,,Apple,iPhone 5 64GB Unlocked,,013335007930105
Cell Phones,Power button not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 5S 32GB Unlocked,,013968005120814
Cell Phones,Power button not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 5 32GB Unlocked,,990002739833943
Cell Phones,Charger port not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 5 32GB Unlocked,,990002778636397
Cell Phones,Sim reader not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 5 32GB Unlocked,,013329004805550
Cell Phones,Power button not working.,1,600,600,Used,Other Packaging,,Apple,iPhone 5 16GB Unlocked,,013423002087517
Cell Phones,Wifi not working.,1,600,600,Used,Other Packaging,,Apple,iPhone 5 16GB Unlocked,,013329004805550
Cell Phones,Power button not working.,1,600,600,Used,Other Packaging,,Apple,iPhone 5C 16GB Unlocked,,013892000653993
Cell Phones,Screen cracked. No service issue.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB AT&T,,354408069280961
Cell Phones,Front camera mic not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB AT&T,,354408069280961
Cell Phones,Touch screen not working. No service issue.,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB AT&T,,359296065605504
Cell Phones,Touch screen not working. ,1,700,700,Used,Other Packaging,,Apple,iPhone 6 16GB AT&T,,359307062963687
Cell Phones,No service issue.,1,800,800,Used,Other Packaging,,Apple,iPhone 6 64GB AT&T,,359305068174093
Cell Phones,Microphones not working.,1,900,900,Used,Other Packaging,,Apple,iPhone 6 128GB AT&T,,359305063628960
Cell Phones,Hardware buttons not working. Screen does not turn on. Connects to PC.,1,700,700,Used,Other Packaging,,Apple,iPhone 6s 16GB AT&T,,
Cell Phones,Screen does not turn on. Connects to PC.,1,800,800,Used,Other Packaging,,Apple,iPhone 6s 64GB AT&T,,
Cell Phones,Headphone jack not working.,1,600,600,Used,Other Packaging,,Apple,iPhone 5 16GB AT&T,,013441006928130
Cell Phones,Speakerphone not working.,1,700,700,Used,Other Packaging,,Apple,iPhone 5 32GB AT&T,,013336008479290
Cell Phones,Charger port.,1,700,700,Used,Other Packaging,,Apple,iPhone 5 32GB AT&T,,013434003168867
Cell Phones,Charger port.,1,700,700,Used,Other Packaging,,Apple,iPhone 5C 32GB Unlocked,,358537057844820
Cell Phones,Power button missing.,1,500,500,Used,Other Packaging,,Apple,iPhone 3GS AT&T 32GB,,
