Category,Item Description,Qty,Retail Per Unit,Total Retail,Condition,Packaging,UPC,Manufacturer,Model
Consumer Electronics,IPAD PRO 9.7 INCH 128GB WIFI +CELL,1,1499,1499,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 5 GENERATION 32GB WIFI +CELL,1,1399,1399,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 5 GENERATION 32GB WIFI +CELL,1,1399,1399,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 2 64GB WIFI +CELL,1,1399,1399,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 2 32GB WIFI +CELL,1,1399,1399,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 5 GENERATION 128GB WIFI,1,1499,1499,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 2 64GB WIFI,1,1399,1399,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 1 64GB WIFI,1,1299,1299,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 1 16GB WIFI,1,999,999,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 16 GB WIFI,1,999,999,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 16GB WIFI,1,999,999,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 1  16GB WIFI,1,999,999,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 1 16GB WIFI,1,999,999,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 1 16GB WIFI,1,999,999,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 1 16GB WIFI,1,999,999,Refurbished,See Image(s),,,
Consumer Electronics,IPAD AIR 1 16GB WIFI,1,999,999,Refurbished,See Image(s),,,
Consumer Electronics,IPAD MINI 2 16GB WIFI +CELL,1,799,799,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 3 GENERATION 32GB WIFI +CELL,1,899,899,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 4 GENERATION 32GB WIFI,1,799,799,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 4 GENERATION 16GB WIFII,2,599,1198,Refurbished,See Image(s),,,
Consumer Electronics,IPAD MINI 2 16GB WIFI,1,599,599,Refurbished,See Image(s),,,
Consumer Electronics,IPAD MINI 2 32GB WIFI,1,699,699,Refurbished,See Image(s),,,
Consumer Electronics,IPAD MINI 1 32GB WIFI,1,699,699,Refurbished,See Image(s),,,
Consumer Electronics,IPAD MINI 1 16GB WIFI,4,499,1996,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 2 GENERATION 64GB WIFI,1,899,899,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 2 GENERATION 32GB WIFI,1,799,799,Refurbished,See Image(s),,,
Consumer Electronics,IPAD 2 GENERATION 16GB WIFI,5,499,2495,Refurbished,See Image(s),,,
